,{'e1': '1'},{'e1': '1\\\\frac{1}{2}'},{'e1': '1\\\\frac{2}{1}'},{'e1': '213'},{'e1': '2\\\\frac{1}{2}'},{'e1': '3\\\\frac{1}{2}'},{'e1': '3\\\\frac{3}{2}'},{'e1': '4'},{'e1': '4\\\\frac{2}{2}'},{'e1': '5'},{'e1': '8'},{'e1': '\\\\frac{3}{2}'},{'e1': '\\\\frac{5}{2}'},{'e1': '\\\\frac{7}{2}'},{'e1': '\\\\frac{9}{2}'}
{'e1': '1\\\\frac{4}{5}'},0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0
{'e1': '1\\\\frac{5}{5}'},0.047619048,0,0,0,0.142857143,0.095238095,0.047619048,0,0,0,0.047619048,0,0,0,0
{'e1': '1\\\\frac{6}{5}'},0,0,0.047619048,0,0,0,0,0,0,0,0,0.047619048,0,0,0
{'e1': '3'},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048
{'e1': '435'},0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0
{'e1': '5'},0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0
{'e1': '\\\\frac{ }{ }'},0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0
{'e1': '\\\\frac{11}{5}'},0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0
{'e1': '\\\\frac{1}{5}'},0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0
{'e1': '\\\\frac{5}{5}'},0,0,0,0,0,0,0,0,0.047619048,0,0,0,0.047619048,0,0
{'e1': '\\\\frac{8}{5}'},0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
{'e1': '1{4}{5}'}, '1{4}{5}',,,,,,,,,,,,,,
{'e1': '1{5}{5}'}, '1{5}{5}',,,,,,,,,,,,,,
{'e1': '1{6}{5}'}, '1{6}{5}',,,,,,,,,,,,,,
#VALUE!,,,,,,,,,,,,,,,
#VALUE!,#VALUE!,,,,,,,,,,,,,,
#VALUE!,#VALUE!,,,,,,,,,,,,,,
{'e1': '{ }{ }'}, '{ }{ }',,,,,,,,,,,,,,
{'e1': '{11}{5}'}, '{11}{5}',,,,,,,,,,,,,,
{'e1': '{1}{5}'}, '{1}{5}',,,,,,,,,,,,,,
{'e1': '{5}{5}'}, '{5}{5}',,,,,,,,,,,,,,
{'e1': '{8}{5}'}, '{8}{5}',,,,,,,,,,,,,,
