,question_d20b14ef-b0ae-4d10-8a33-83246de7af84,question_bcc09a8b-5dd2-4b8f-9e46-eec82def5c32
http://sso.cet.ac.il/0386cfe0-df0f-4dd4-87dc-a69f64ebc96a,3,{2/3}
http://sso.cet.ac.il/40604259-4dc2-48c4-93b6-d38db66e581e,11,{ / }
http://sso.cet.ac.il/4719312a-ee82-4d49-8bbb-cc51c42616ee,{ / },1
http://sso.cet.ac.il/60c259cc-eb27-4920-be3b-74d98f71bb60,7,5
http://sso.cet.ac.il/8a207055-bb5d-4889-9b0e-d88b217f8f6e,h,5
http://sso.cet.ac.il/ab7afcb2-02a9-40e3-98f5-d8f8da415742,h,h
http://sso.cet.ac.il/d163af4b-25cf-4950-9a72-9b02ac55c435,4,h
http://sso.cet.ac.il/dacb1540-a0ad-4210-a637-e0b639ad85c4,8,3
http://sso.cet.ac.il/edab09b5-02fc-4e0e-8e1f-2b3b80091137,1,1
http://sso.cet.ac.il/f283dc51-fb7c-4512-bc18-f93d9f6e48aa,h,1
http://sso.cet.ac.il/f5dc4c87-06f0-4f14-906e-aa429f2ee02a,1,1
http://sso.cet.ac.il/f80e42db-2b72-4ce2-8be3-729cca434f70,7,3
http://sso.cet.ac.il/fd2221a1-059d-43ad-99fd-45aaf3c51b6f,{2/4},h
http://sso.cet.ac.il/fedfe218-874f-4a02-a509-473616f3ec0f,3,1
